column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
C5,590540.0,5.57152606089342,25.786975821564248,0.0,0.0,0.0,0.0,0.0,1.0,9.0,149.0,349.0
C6,590540.0,9.07108239916009,71.50846738702947,0.0,0.0,0.0,1.0,1.0,2.0,15.0,118.0,2253.0
C7,590540.0,2.848477664510448,61.7273035162949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2255.0
C8,590540.0,5.144574457276391,95.37857364911812,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,3331.0
C9,590540.0,4.480240119212924,16.674896706250987,0.0,0.0,0.0,0.0,1.0,2.0,9.0,95.0,210.0
C10,590540.0,5.2403427371558235,95.5814429624085,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,3257.0
C11,590540.0,10.241521319470316,94.33629183034311,0.0,1.0,1.0,1.0,1.0,2.0,14.0,122.0,3188.0
C12,590540.0,4.076226843228231,86.66621767416046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3188.0
C13,590540.0,32.539917702441834,129.3648444455895,0.0,0.0,0.0,1.0,3.0,12.0,102.0,578.0,2918.0
C14,590540.0,8.29521454939547,49.544262418729545,0.0,0.0,0.0,1.0,1.0,2.0,14.0,128.0,1429.0
D1,589271.0,94.34756843625429,157.6603865208987,0.0,0.0,0.0,0.0,3.0,122.0,489.0,602.0,640.0
D2,309743.0,169.56323145317248,177.31586494207204,0.0,0.0,1.0,26.0,97.0,276.0,540.0,617.0,640.0
D3,327662.0,28.343347718075332,62.384721370068235,0.0,0.0,0.0,1.0,8.0,27.0,129.0,356.0,819.0
D4,421618.0,140.0024405978872,191.09677352636604,-122.0,0.0,0.0,0.0,26.0,253.0,544.0,623.0,869.0
D5,280699.0,42.33596485915518,89.00014433978245,0.0,0.0,0.0,1.0,10.0,32.0,246.0,455.0,819.0
D6,73187.0,69.80571686228429,143.66925294260162,-83.0,0.0,0.0,0.0,0.0,40.0,405.0,593.0,873.0
D7,38917.0,41.63894955931855,99.74326354021736,0.0,0.0,0.0,0.0,0.0,17.0,321.0,429.0,843.0
D8,74926.0,146.0581076468787,231.66383996904645,0.0,0.0,0.125,0.9583330154418944,37.875,187.9583282470703,738.6562652587891,983.9270629882812,1707.7916259765625
D9,74926.0,0.5610571265961662,0.31687956569750225,0.0,0.0,0.0,0.2083330005407333,0.6666659712791443,0.8333330154418945,0.9583330154418944,0.9583330154418944,0.9583330154418944
D10,514518.0,123.98213667937759,182.615224535141,0.0,0.0,0.0,0.0,15.0,197.0,535.0,622.0,876.0
D11,311253.0,146.6214654959149,186.04262201427068,-53.0,0.0,0.0,0.0,43.0,274.0,532.0,609.0,670.0
D12,64717.0,54.03753264211876,124.27455838013957,-83.0,0.0,0.0,0.0,0.0,13.0,381.0,514.0,648.0
D13,61952.0,17.901294550619834,67.61442502484186,0.0,0.0,0.0,0.0,0.0,0.0,109.0,371.48999999999796,847.0
D14,62187.0,57.724444015630276,136.3124502886637,-193.0,0.0,0.0,0.0,0.0,2.0,396.0,562.0,878.0
D15,501427.0,163.744578971615,202.72665990095558,-83.0,0.0,0.0,0.0,52.0,314.0,566.0,635.0,879.0
V1,311253.0,0.9999453820525425,0.007390205667367283,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V2,311253.0,1.0452043835722065,0.2401328882133936,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
V3,311253.0,1.0780747494803262,0.32088982494062157,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0
V4,311253.0,0.8464560984151157,0.4400532866804725,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0
V5,311253.0,0.8769907438643162,0.4759024963211416,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0
V6,311253.0,1.0456863066380082,0.2393849287785824,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0
V7,311253.0,1.072869980369667,0.3047788068557465,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0
V8,311253.0,1.0277041506427247,0.18606936449309053,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
V9,311253.0,1.0415289169903583,0.22633872871029484,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
V10,311253.0,0.4639152072429824,0.5215220840109311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
V11,311253.0,0.47898654792082324,0.5524307764361954,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
V12,514467.0,0.5597113128733233,0.5105330018741471,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
V13,514467.0,0.5991657385216156,0.5321850943345716,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0
V14,514467.0,0.9995004538677894,0.02234496713773965,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V15,514467.0,0.12234215216913816,0.33242174596276686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V16,514467.0,0.12345981374898682,0.3428410507262253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
V17,514467.0,0.1340396954517977,0.36445647007980886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
V18,514467.0,0.13536339551419235,0.37176330339982566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
V19,514467.0,0.8163711180697693,0.4255118725004732,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0
V20,514467.0,0.8478425243990382,0.4594505740538363,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,15.0
V21,514467.0,0.12968373092929186,0.3390596655623546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
V22,514467.0,0.13229225586869517,0.359414763344614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0
V23,514467.0,1.0347913471612369,0.247680612822035,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0
V24,514467.0,1.0580970208001679,0.30548504044860314,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0
V25,514467.0,0.9776603747179119,0.18524491927215062,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
V26,514467.0,0.9880400492159847,0.2093021394215634,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0
V27,514467.0,0.0007755599484515042,0.028595851947418507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
V28,514467.0,0.0008299852079919606,0.031132762227639273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
V29,514467.0,0.3878402307631004,0.5106517814067613,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
V30,514467.0,0.40643617569251284,0.5543107073881635,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0
V31,514467.0,0.14076121500504404,0.35579282006877605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V32,514467.0,0.14241729790248936,0.3682776827846043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
V33,514467.0,0.1306925419900596,0.34090024530735374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V34,514467.0,0.1391537260893313,0.35754897005988057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0
V35,421571.0,0.5425942486556239,0.5160100317408693,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
V36,421571.0,0.5791978100960455,0.539038715850542,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0
V37,421571.0,1.1080648336816337,0.6905711497544811,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,54.0
V38,421571.0,1.1623996906808105,0.858920103135485,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,54.0
V39,421571.0,0.16607641417459929,0.451955533636383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
V40,421571.0,0.17714453793074003,0.5057864825843138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0
V41,421571.0,0.9992693994605891,0.027019779681621482,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V42,421571.0,0.15611842370561543,0.3828958872692891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0
V43,421571.0,0.16894188642008107,0.43335882008247223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
V44,421571.0,1.0838909697298913,0.6391433261723022,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,48.0
V45,421571.0,1.1207791807311225,0.7297735338216835,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,48.0
V46,421571.0,1.0222856885317064,0.16671894998440376,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0
V47,421571.0,1.0385154576571918,0.2318621369665042,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0
V48,421571.0,0.3831738900446188,0.5081889966743889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
V49,421571.0,0.39772422676132846,0.5426536517878532,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
V50,421571.0,0.16474567747781513,0.3739954266924594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
V51,421571.0,0.1705786213947354,0.4038988555866866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
V52,421571.0,0.18269520436652426,0.4390016374514671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0
V53,513444.0,0.5775858710979191,0.5115705172672836,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
V54,513444.0,0.6199819259744003,0.5346347586879212,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0
V55,513444.0,1.0676704762349936,0.3913637299433853,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0
V56,513444.0,1.1209791135936928,0.6611285025664969,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,51.0
V57,513444.0,0.12831194833321646,0.34909432674065705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
V58,513444.0,0.13245261411176293,0.37290726410039604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
V59,513444.0,0.13443335592586533,0.37929127823306685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0
V60,513444.0,0.14253745296468553,0.4182296036820271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.0
V61,513444.0,0.8297847477037418,0.43661692676259667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0
V62,513444.0,0.8675629669447885,0.4838034073611586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,10.0
V63,513444.0,0.13074259315524187,0.3552624947110733,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V64,513444.0,0.14182461962745693,0.4061572739351688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0
V65,513444.0,0.999663059652075,0.018352860135219393,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V66,513444.0,0.9810378541768917,0.21623515695658116,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
V67,513444.0,0.998120535053482,0.24591158728713058,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
V68,513444.0,0.0005336511868869828,0.0237598319837618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
V69,513444.0,0.3902002944819688,0.5136955348349489,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
V70,513444.0,0.4079237463092372,0.5544992192938571,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0
V71,513444.0,0.1406385116974782,0.3643031200032058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
V72,513444.0,0.14512390835222536,0.38921191418836015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
V73,513444.0,0.1399821596902486,0.36709800025625583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V74,513444.0,0.1521470695927891,0.39327412251646127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0
V75,501376.0,0.5442781465407199,0.5143176188966758,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
V76,501376.0,0.5875570430176156,0.5382304466485205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0
V77,501376.0,1.0868928708195047,0.5329575312554647,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,30.0
V78,501376.0,1.1444624393668623,0.7814740822605014,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,31.0
V79,501376.0,0.13686734107735513,0.37990377692508426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V80,501376.0,0.14395383903497574,0.40993187476085907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0
V81,501376.0,0.15269578121010977,0.4522977518287948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0
V82,501376.0,0.8446096342864438,0.42252860888417926,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0
V83,501376.0,0.8819648327801889,0.470756757587847,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0
V84,501376.0,0.13714457812101097,0.3618749525101085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V85,501376.0,0.14978778401838141,0.41944493820515677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0
V86,501376.0,1.0648854352821036,0.4198066704178901,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,30.0
V87,501376.0,1.0994562962726577,0.5112810876695464,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,30.0
V88,501376.0,0.9992460748021444,0.0274473732301113,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V89,501376.0,0.0009015190196579014,0.03194337152835598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
V90,501376.0,0.40186207556803677,0.516152889334436,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
V91,501376.0,0.42046089162624456,0.5618647229408438,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0
V92,501376.0,0.15032231299463875,0.37568189919483463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V93,501376.0,0.15481195749297932,0.4023135553290502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0
V94,501376.0,0.13700695685473577,0.3438782380035045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
V95,590226.0,1.038019334966606,21.034303677709538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,880.0
V96,590226.0,3.0051895375669657,40.239490203323484,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,1410.0
V97,590226.0,1.7189330866481654,27.700448754939515,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,976.0
V98,590226.0,0.06198473127242785,0.28499483683568144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0
V99,590226.0,0.8949859884179958,2.722552160159171,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,88.0
V100,590226.0,0.27350370874885216,0.9471757419985344,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,28.0
V101,590226.0,0.8892492028477227,20.582571158377473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,869.0
V102,590226.0,1.8272288919837485,35.92845559632024,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1285.0
V103,590226.0,1.2792879337745202,25.68564203862856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,928.0
V104,590226.0,0.08543337636769645,0.6487175539609487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
V105,590226.0,0.28114484959998376,3.3739482507541454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,99.0
V106,590226.0,0.1645844134280767,1.8256654248710071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,55.0
V107,590226.0,0.999579821966501,0.02049395509692427,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V108,590226.0,1.0046134870371688,0.08114598608252234,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
V109,590226.0,1.0148163584796333,0.12776937524049578,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0
V110,590226.0,1.00773940829445,0.09728968358865953,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
V111,590226.0,1.002563424857597,0.070830338317062,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
V112,590226.0,1.0053555756608485,0.08461738414223274,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
V113,590226.0,1.0033834497294256,0.0747536737462307,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
V114,590226.0,1.0092981332574302,0.1101789029129337,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
V115,590226.0,1.0324502817564798,0.19038464336492353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0
V116,590226.0,1.0157380393273086,0.13677025447018046,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0
V117,590226.0,1.000391375507009,0.035238417964672294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V118,590226.0,1.001474011649775,0.04101134971955079,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V119,590226.0,1.0007285344935668,0.036392137885679694,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V120,590226.0,1.0008742413922802,0.04168399972226862,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V121,590226.0,1.004276328050611,0.06709711647062137,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V122,590226.0,1.0017586483821452,0.048636358836485885,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
V123,590226.0,1.0311202827391541,0.22813418767174112,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0
V124,590226.0,1.0929745555092456,0.37410330940254133,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,13.0
V125,590226.0,1.0504145869548274,0.28003697967313224,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0
V126,590226.0,129.97941710470164,2346.9516814000867,0.0,0.0,0.0,0.0,0.0,0.0,184.9499969482422,944.0,160000.0
V127,590226.0,336.6115585155757,4238.666948933806,0.0,0.0,0.0,0.0,0.0,107.9499969482422,720.0,2875.0,160000.0
V128,590226.0,204.09403837496455,3010.258774248682,0.0,0.0,0.0,0.0,0.0,0.0,351.0,1567.0,160000.0
V129,590226.0,8.768944125254277,113.83282816082263,0.0,0.0,0.0,0.0,0.0,0.0,29.0,214.0,55125.0
V130,590226.0,92.16584942117251,315.96048480199437,0.0,0.0,0.0,0.0,0.0,59.0,445.0,1411.9750061035156,55125.0
V131,590226.0,31.133302173183154,161.16125768428245,0.0,0.0,0.0,0.0,0.0,0.0,171.0,619.0,55125.0
V132,590226.0,103.51318849235776,2266.106139781329,0.0,0.0,0.0,0.0,0.0,0.0,45.0,500.0,93736.0
V133,590226.0,204.88915980030455,3796.3167547637054,0.0,0.0,0.0,0.0,0.0,0.0,169.9499969482422,1344.375,133915.0
V134,590226.0,145.97232754635542,2772.9868170400887,0.0,0.0,0.0,0.0,0.0,0.0,97.0,834.0,98476.0
V135,590226.0,17.25013217816419,293.8475632049873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,90750.0
V136,590226.0,38.82119582327327,451.8084113628671,0.0,0.0,0.0,0.0,0.0,0.0,77.0,635.375,90750.0
V137,590226.0,26.365089844530424,348.3327138114786,0.0,0.0,0.0,0.0,0.0,0.0,30.95000076293945,500.0,90750.0
V138,81945.0,0.036439074989322105,0.428489614947845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0
V139,81945.0,1.073915431081823,1.3339238742881825,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,33.0
V140,81945.0,1.12526694734273,1.4678497274035534,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,33.0
V141,81945.0,0.037696015620233086,0.21513322068580534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
V142,81945.0,0.048581365550064065,0.31388818554745956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
V143,81951.0,8.397005527693377,55.26754522243087,0.0,0.0,0.0,0.0,0.0,0.0,28.0,219.0,869.0
V144,81951.0,3.7084843382020964,10.48563309550456,0.0,0.0,0.0,0.0,0.0,0.0,34.0,47.0,62.0
V145,81951.0,22.112945540627937,64.37185979959162,0.0,0.0,0.0,0.0,0.0,1.0,203.0,285.0,297.0
V146,81945.0,0.1562755506742327,0.6823275022250748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0
V147,81945.0,0.16860089084141802,0.7504970048718852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,26.0
V148,81945.0,0.7650009152480323,0.5814254323223293,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0
V149,81945.0,0.7753127097443407,0.6281909425814455,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0
V150,81951.0,277.5980280899562,829.5769224816408,1.0,1.0,1.0,1.0,1.0,1.0,2819.0,3339.0,3389.0
V151,81951.0,6.460189625507925,15.232324043745978,1.0,1.0,1.0,1.0,1.0,1.0,52.0,55.0,57.0
V152,81951.0,9.432709789996462,21.554486396313653,1.0,1.0,1.0,1.0,1.0,1.0,68.0,68.0,69.0
V153,81945.0,0.7532003172859845,0.5326488254639097,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,18.0
V154,81945.0,0.7574226615412777,0.5469070201696049,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,18.0
V155,81945.0,0.7673805601317957,0.6026784588596226,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,24.0
V156,81945.0,0.7774848984074684,0.6472089880752275,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,24.0
V157,81945.0,0.8175727622185612,0.6820158729543592,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,24.0
V158,81945.0,0.8334614680578437,0.7343359919012407,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,24.0
V159,81951.0,2719.2997751396206,8355.445049047941,0.0,0.0,0.0,0.0,0.0,0.0,25706.9658203125,37350.48046875,55125.0
V160,81951.0,47453.181172848184,142076.0691619438,0.0,0.0,0.0,0.0,0.0,0.0,459850.5,623983.4375,641511.4375
V161,81945.0,4.843938007199951,58.929757011419426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3300.0
V162,81945.0,6.594661053145402,69.19518018822558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,3300.0
V163,81945.0,5.505955213862957,63.07788670512752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3300.0
V164,81951.0,877.8889283442782,6049.166505035175,0.0,0.0,0.0,0.0,0.0,0.0,2410.0,23075.5,93736.0
V165,81951.0,2239.912219119266,8223.25892774305,0.0,0.0,0.0,0.0,0.0,0.0,14578.9501953125,42118.0,98476.0
V166,81951.0,359.46943747462996,1244.4632704699961,0.0,0.0,0.0,0.0,0.0,0.0,2785.0,4523.97998046875,104060.0
V167,139631.0,3.9295142196217174,42.200980328237065,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,872.0
V168,139631.0,5.859501113649547,54.03246811665551,0.0,0.0,0.0,0.0,0.0,1.0,5.0,125.0,964.0
V169,139819.0,0.16805298278488617,0.9049439728419197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0
V170,139819.0,1.4367789785365366,1.7511425062243688,0.0,0.0,0.0,1.0,1.0,1.0,4.0,8.0,48.0
V171,139819.0,1.6909075304500818,2.4447476157909223,0.0,0.0,0.0,1.0,1.0,1.0,5.0,14.0,61.0
V172,139631.0,0.13201223224069153,0.9248943083684084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0
V173,139631.0,0.05523128818099133,0.2644391597751274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
V174,139819.0,0.12779379054348836,0.3797633532664508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
V175,139819.0,0.21263919782003876,0.8571328250349174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0
V176,139631.0,1.3769793240755992,1.8294200292273421,0.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,48.0
V177,139631.0,3.529244938444901,41.310621973634774,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,861.0
V178,139631.0,6.64928275239739,69.44736395691943,0.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,1235.0
V179,139631.0,4.86901189563922,50.48942644860844,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,920.0
V180,139819.0,0.9241233308777776,6.112629967668477,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,83.0
V181,139631.0,0.2533319964764272,1.2489740465998451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0
V182,139631.0,0.8562425249407366,5.792934025612843,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,83.0
